City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2021-05-17 13:11:10,41.3712,-73.414,63.0,55,1,3.67
1,Busselton,AU,2021-05-17 13:11:10,-33.65,115.3333,60.01,95,7,8.52
2,Arraial Do Cabo,BR,2021-05-17 13:11:11,-22.9661,-42.0278,77.0,61,0,8.05
3,Araouane,ML,2021-05-17 13:11:12,18.9048,-3.5265,112.24,7,17,8.48
4,Faanui,PF,2021-05-17 13:11:12,-16.4833,-151.75,80.51,75,24,14.97
5,Bengkulu,ID,2021-05-17 13:11:12,-3.8004,102.2655,78.66,87,100,5.68
6,Bredasdorp,ZA,2021-05-17 13:11:13,-34.5322,20.0403,64.4,55,40,5.75
7,Port Alfred,ZA,2021-05-17 13:11:13,-33.5906,26.891,63.91,71,26,18.88
8,Bluff,NZ,2021-05-17 13:11:13,-46.6,168.3333,43.0,84,64,7.0
9,Minot,US,2021-05-17 13:10:01,48.2325,-101.2963,64.4,59,1,8.05
10,Mackay,AU,2021-05-17 13:11:14,-21.15,149.2,60.8,82,40,6.91
11,Kavieng,PG,2021-05-17 13:11:14,-2.5744,150.7967,83.23,79,97,17.56
12,Rayevskiy,RU,2021-05-17 13:11:15,54.0658,54.9468,83.53,36,67,7.72
13,Tuatapere,NZ,2021-05-17 13:11:15,-46.1333,167.6833,43.0,84,84,7.0
14,Kapaa,US,2021-05-17 13:11:16,22.0752,-159.319,69.8,88,75,16.11
15,Rikitea,PF,2021-05-17 13:11:16,-23.1203,-134.9692,74.14,63,66,4.99
16,Berlevag,NO,2021-05-17 13:11:17,70.8578,29.0864,41.0,93,75,5.75
17,Mataura,NZ,2021-05-17 13:11:17,-46.1927,168.8643,43.0,84,30,7.0
18,Kungurtug,RU,2021-05-17 13:11:18,50.5994,97.5228,44.91,91,100,3.53
19,Dikson,RU,2021-05-17 13:11:18,73.5069,80.5464,25.61,80,39,5.86
20,Port Lincoln,AU,2021-05-17 13:11:18,-34.7333,135.8667,56.53,62,0,6.96
21,Punta Arenas,CL,2021-05-17 13:07:00,-53.15,-70.9167,44.6,87,90,17.27
22,Hermanus,ZA,2021-05-17 13:11:19,-34.4187,19.2345,64.0,63,10,1.99
23,Valera,VE,2021-05-17 13:11:20,9.3178,-70.6036,80.24,68,65,1.41
24,Surt,LY,2021-05-17 13:11:20,31.2089,16.5887,83.44,32,9,10.63
25,Vaini,TO,2021-05-17 13:11:21,-21.2,-175.2,77.0,94,40,6.91
26,Yellowknife,CA,2021-05-17 13:10:42,62.456,-114.3525,30.2,69,75,12.66
27,Mount Gambier,AU,2021-05-17 13:11:21,-37.8333,140.7667,51.8,93,90,6.91
28,Cape Town,ZA,2021-05-17 13:11:22,-33.9258,18.4232,64.0,48,40,3.44
29,Salinopolis,BR,2021-05-17 13:11:23,-0.6136,-47.3561,79.29,87,100,8.46
30,Ribeira Grande,PT,2021-05-17 13:11:23,38.5167,-28.7,68.0,77,40,17.27
31,Paso De Carrasco,UY,2021-05-17 13:11:24,-34.8603,-56.0522,55.4,100,20,6.91
32,Karratha,AU,2021-05-17 13:11:24,-20.7377,116.8463,76.1,47,98,4.61
33,Ilulissat,GL,2021-05-17 13:11:25,69.2167,-51.1,33.8,75,40,5.75
34,Kihei,US,2021-05-17 13:11:26,20.785,-156.4656,69.8,83,75,8.05
35,San Carlos,VE,2021-05-17 13:09:42,9.6612,-68.5827,83.66,58,63,6.42
36,Albany,US,2021-05-17 13:11:26,42.6001,-73.9662,63.0,55,7,2.86
37,Fort Nelson,CA,2021-05-17 13:11:27,58.8053,-122.7002,35.6,100,75,4.61
38,Bauta,CU,2021-05-17 13:11:27,22.9828,-82.5464,78.8,73,20,6.91
